dimension	x	z	world_rng_next_calls	lighting_drain_calls
1	-7	0	0	1
1	-7	1	0	6
1	-7	2	0	87
1	-7	3	0	1
1	-7	4	0	1
1	-7	5	0	38
1	-7	6	0	1
1	-7	7	0	5
1	-7	8	0	1
1	-7	9	0	1
1	-7	10	0	1
1	-6	-14	0	1
1	-6	-13	0	1
1	-6	-12	0	1
1	-6	-11	0	1
1	-6	-10	0	106
1	-6	-9	0	20
1	-6	-8	0	7
1	-6	-7	0	6
1	-6	-6	0	1
1	-6	-5	0	1
1	-6	-4	0	66
1	-6	-3	0	3
1	-6	-2	0	1
1	-6	-1	0	1
1	-6	0	0	4
1	-6	1	0	1
1	-6	2	0	18
1	-6	3	0	1
1	-6	4	0	8
1	-6	5	0	1
1	-6	6	0	6
1	-6	7	0	1
1	-6	8	0	6
1	-6	9	0	1
1	-6	10	0	95
1	-5	-14	0	1
1	-5	-13	0	1
1	-5	-12	0	1
1	-5	-11	0	4
1	-5	-10	0	1
1	-5	-9	0	1
1	-5	-8	0	10
1	-5	-7	0	3
1	-5	-6	0	2
1	-5	-5	0	1
1	-5	-4	0	2
1	-5	-3	0	1
1	-5	-2	0	5
1	-5	-1	0	1
1	-5	0	0	41
1	-5	1	0	1
1	-5	2	0	2
1	-5	3	0	2
1	-5	4	0	1
1	-5	5	0	1
1	-5	6	0	5
1	-5	7	0	4
1	-5	8	0	1
1	-5	9	0	67
1	-5	10	0	1
1	-4	-14	0	1
1	-4	-13	0	1
1	-4	-12	0	1
1	-4	-11	0	1
1	-4	-10	0	7
1	-4	-9	0	1
1	-4	-8	0	1
1	-4	-7	0	3
1	-4	-6	0	9
1	-4	-5	0	6
1	-4	-4	0	1
1	-4	-3	0	5
1	-4	-2	0	2
1	-4	-1	0	3
1	-4	0	0	3
1	-4	1	0	3
1	-4	2	0	1
1	-4	3	0	2
1	-4	4	0	4
1	-4	5	0	1
1	-4	6	0	3
1	-4	7	0	1
1	-4	8	0	1
1	-4	9	0	6
1	-4	10	0	6
1	-3	-14	0	1
1	-3	-13	0	4
1	-3	-12	0	1
1	-3	-11	0	1
1	-3	-10	0	1
1	-3	-9	0	1
1	-3	-8	0	1
1	-3	-7	0	3
1	-3	-6	0	3
1	-3	-5	0	1
1	-3	-4	0	2
1	-3	-3	0	3
1	-3	-2	0	2
1	-3	-1	0	2
1	-3	0	0	1
1	-3	1	0	86
1	-3	2	0	5
1	-3	3	0	1
1	-3	4	0	1
1	-3	5	0	1
1	-3	6	0	7
1	-3	7	0	17
1	-3	8	0	6
1	-3	9	0	3
1	-3	10	0	3
1	-2	-14	0	1
1	-2	-13	0	10
1	-2	-12	0	1
1	-2	-11	0	2
1	-2	-10	0	1
1	-2	-9	0	1
1	-2	-8	0	175
1	-2	-7	0	12
1	-2	-6	0	1
1	-2	-5	0	5
1	-2	-4	0	6
1	-2	-3	0	5
1	-2	-2	0	9
1	-2	-1	0	1
1	-2	0	0	6
1	-2	1	0	1
1	-2	2	0	3
1	-2	3	0	1
1	-2	4	0	1
1	-2	5	0	1
1	-2	6	0	55
1	-2	7	0	20
1	-2	8	0	5
1	-2	9	0	4
1	-2	10	0	7
1	-1	-14	0	1
1	-1	-13	0	1
1	-1	-12	0	61
1	-1	-11	0	1
1	-1	-10	0	1
1	-1	-9	0	8
1	-1	-8	0	1
1	-1	-7	0	4
1	-1	-6	0	6
1	-1	-5	0	1
1	-1	-4	0	6
1	-1	-3	0	1
1	-1	-2	0	6
1	-1	-1	0	1
1	-1	0	0	1
1	-1	1	0	2
1	-1	2	0	2
1	-1	3	0	7
1	-1	4	0	5
1	-1	5	0	3
1	-1	6	0	3
1	-1	7	0	37
1	-1	8	0	2
1	-1	9	0	1
1	-1	10	0	2
1	0	-14	0	1
1	0	-13	0	1
1	0	-12	0	5
1	0	-11	0	2
1	0	-10	0	1
1	0	-9	0	1
1	0	-8	0	1
1	0	-7	0	5
1	0	-6	0	15
1	0	-5	0	2
1	0	-4	0	1
1	0	-3	0	1
1	0	-2	0	4
1	0	-1	0	1
1	0	0	0	1
1	0	1	0	1
1	0	2	0	1
1	0	3	0	9
1	0	4	0	1
1	0	5	0	1
1	0	6	0	25
1	0	7	0	1
1	0	8	0	18
1	0	9	0	12
1	0	10	0	8
1	1	-14	0	1
1	1	-13	0	3
1	1	-12	0	6
1	1	-11	0	6
1	1	-10	0	1
1	1	-9	0	1
1	1	-8	0	1
1	1	-7	0	3
1	1	-6	0	1
1	1	-5	0	9
1	1	-4	0	1
1	1	-3	0	2
1	1	-2	0	4
1	1	-1	0	6
1	1	0	0	1
1	1	1	0	3
1	1	2	0	2
1	1	3	0	3
1	1	4	0	8
1	1	5	0	1
1	1	6	0	14
1	1	7	0	15
1	1	8	0	1
1	1	9	0	12
1	1	10	0	12
1	2	-14	0	1
1	2	-13	0	4
1	2	-12	0	194
1	2	-11	0	41
1	2	-10	0	3
1	2	-9	0	9
1	2	-8	0	4
